Feature,Importance
num__Log Assessed Value,0.2915442650971614
num__Assessed Value,0.18144803899041265
num__Dist To NYC,0.04462630948150981
num__Dist To Boston,0.042572265022417226
cat__Residential Type_Single Family,0.04231826739626907
num__List Year,0.04141634623602224
num__Sale Year,0.03850578774605719
num__Longitude,0.03307863304461475
num__Sale Day Of Year,0.029697991608679995
num__Dist To Hartford,0.02944380712461063
num__Approx Dist To Coast,0.027780099425211816
num__Sale Month,0.01933452978798481
cat__Town_Bridgeport,0.016461582708120464
num__Latitude,0.015085528069443232
cat__Town_Waterbury,0.01335674278154578
num__Sale Quarter,0.010908798354422794
cat__Property Type_Vacant Land,0.010290085576146855
cat__Residential Type_Condo,0.006859175606722732
cat__Town_Greenwich,0.004233160565802529
cat__Town_Hartford,0.0031471820827645
cat__Town_Fairfield,0.0029502658441985575
cat__Property Type_Residential,0.0024110421849522184
cat__Town_Stamford,0.0022616463093389832
cat__Town_Norwich,0.002226479684316065
cat__Town_Westport,0.0021788279113701754
cat__Property Type_Commercial,0.0021598363737200415
cat__Town_Torrington,0.0020616538887126496
cat__Town_New Canaan,0.0018586570923763083
cat__Town_Darien,0.0017702495843358549
cat__Town_Stratford,0.0017329071043138604
cat__Residential Type_Two Family,0.0016019489913854797
cat__Town_Danbury,0.001542706146079724
cat__Town_Meriden,0.0014927640723397424
cat__Town_Stafford,0.0014572047758359423
cat__Town_New Britain,0.0014031695549206295
cat__Town_New London,0.001357232555765593
cat__Town_East Hartford,0.0012832550822133586
cat__Town_Norwalk,0.001244008039693779
cat__Residential Type_Three Family,0.0011985319062456825
cat__Town_Shelton,0.0011722955111417497
cat__Town_Hamden,0.0011696972467178705
cat__Town_West Haven,0.0011569660623562592
cat__Town_South Windsor,0.0010885785716589645
cat__Town_New Haven,0.00102312506081004
cat__Town_Middlebury,0.0009725968974343143
cat__Town_Glastonbury,0.0009345884039373806
cat__Town_Naugatuck,0.000915199237742687
cat__Town_Middletown,0.0009133755674167888
cat__Town_Bristol,0.0008892011990751949
cat__Town_East Lyme,0.0008794273902495605
cat__Town_West Hartford,0.0008651080073298207
cat__Town_Southington,0.0008516771428159344
cat__Town_Windsor,0.0008321337252639032
cat__Town_Farmington,0.0008289080218352727
cat__Town_Preston,0.0008254376998550787
cat__Town_Wallingford,0.0007894801614946057
cat__Town_Wolcott,0.0007615328843663398
cat__Town_Madison,0.0007558433451388945
cat__Town_Oxford,0.0006933272347058034
cat__Town_Vernon,0.0006921124858024718
cat__Town_Cheshire,0.0006882318475748331
cat__Town_Branford,0.000675332931525571
cat__Town_Plainville,0.0006745517368317476
cat__Town_Newtown,0.000662844211287336
cat__Town_East Haven,0.0006560385814538441
cat__Town_Simsbury,0.0006469215058838982
cat__Town_Southbury,0.0006419627296072597
cat__Town_Tolland,0.0006329039081060674
cat__Town_Suffield,0.000631433509991515
cat__Town_Guilford,0.0006040023543048272
cat__Town_Griswold,0.000593499453382587
cat__Town_Groton,0.0005842858460694182
cat__Town_Ellington,0.0005785566850371336
cat__Town_Prospect,0.0005674342301476328
cat__Town_Manchester,0.0005590792460647052
cat__Property Type_Apartments,0.0005527341673888924
cat__Town_Watertown,0.0005491579405238644
cat__Town_New Milford,0.0005464600243168664
cat__Town_Litchfield,0.0005452902186198078
cat__Town_Bloomfield,0.0005443439515207597
cat__Town_Bethel,0.0005431229994331606
cat__Town_Waterford,0.0005410571575109037
cat__Town_Enfield,0.0005366370676998654
cat__Town_East Hampton,0.00052524882233886
cat__Town_Burlington,0.0005231226460095758
cat__Town_Killingly,0.0005196930151269048
cat__Town_East Windsor,0.0005135464025157784
cat__Town_Ansonia,0.0005106204526971014
cat__Town_Montville,0.0005030342690673286
cat__Town_Milford,0.0005003576298769728
cat__Town_Winchester,0.0004866091111715554
cat__Residential Type_Four Family,0.00048518598746090537
cat__Town_North Haven,0.00047495256116928005
cat__Town_Plainfield,0.00047010158162490764
cat__Town_Stonington,0.000467174773907266
cat__Town_Goshen,0.0004623122180363642
cat__Town_Old Lyme,0.0004599810797759964
cat__Town_Brookfield,0.0004592889694488295
cat__Town_Windsor Locks,0.0004586004460308706
cat__Town_Plymouth,0.00045621263724170667
cat__Town_Brooklyn,0.0004411197343490212
cat__Town_Newington,0.0004394702780609691
cat__Town_Lebanon,0.00043901013415452656
cat__Town_Windham,0.0004366307415620622
cat__Town_Coventry,0.00043596882585834597
cat__Town_Portland,0.0004345456907333055
cat__Town_Seymour,0.0004315216674759831
cat__Town_Sterling,0.00042256736087421055
cat__Town_Cromwell,0.00041349625967483915
cat__Town_Avon,0.0004121390446702658
cat__Town_Old Saybrook,0.00040329024685875793
cat__Town_Ledyard,0.0003988032134962799
cat__Town_Ridgefield,0.0003959945245652846
cat__Town_Wethersfield,0.0003918207542402501
cat__Town_Berlin,0.000390832401388952
cat__Town_East Haddam,0.0003902650654357484
cat__Town_Trumbull,0.0003701546984098707
cat__Town_Clinton,0.00036475673265941284
cat__Town_Westbrook,0.00035724564086971674
cat__Town_Mansfield,0.0003501183489038482
cat__Town_Beacon Falls,0.0003478041642720571
cat__Town_Derby,0.00033997810287511983
cat__Town_Thompson,0.0003344339743736468
cat__Town_Woodstock,0.00033252720187697005
cat__Town_Granby,0.00033009644512598327
cat__Town_Monroe,0.000326279621366056
cat__Town_Putnam,0.00032060453223124914
cat__Town_Canton,0.00031761124933965274
cat__Property Type_Industrial,0.0003074640811612396
cat__Town_Haddam,0.0003035728270535462
cat__Town_Rocky Hill,0.00029807751548535525
cat__Town_Norfolk,0.0002878590211532227
cat__Town_Colchester,0.00028097985225708646
cat__Town_Somers,0.00028010549700637513
cat__Town_Sharon,0.0002794756317031666
cat__Town_Middlefield,0.0002676519070502838
cat__Town_Orange,0.0002673438683141902
cat__Town_Woodbury,0.00025954932188357115
cat__Town_Washington,0.0002555183225006134
cat__Town_Wilton,0.0002458914585569982
cat__Town_Bethlehem,0.0002446800365993269
cat__Town_New Hartford,0.00024234356314573762
cat__Town_Hebron,0.0002241262605691147
cat__Town_Woodbridge,0.00022135559424862433
cat__Town_Voluntown,0.00021839030415463472
cat__Town_Harwinton,0.00021480721376064668
cat__Town_North Canaan,0.00021469855785217747
cat__Town_Warren,0.00020981296673128566
cat__Town_Redding,0.00020946966483188312
cat__Town_North Stonington,0.00020686619557320088
cat__Town_Canaan,0.00020638019935468197
cat__Town_East Granby,0.00019879447488626504
cat__Town_Canterbury,0.00019862843160020323
cat__Town_New Fairfield,0.0001982171723594373
cat__Town_Morris,0.0001977971689333262
cat__Town_Easton,0.00019428353859223373
cat__Town_Weston,0.00019386073590309057
cat__Town_Thomaston,0.00019040096123634222
cat__Town_Essex,0.00018708988445937738
cat__Town_Columbia,0.00018686631451999452
cat__Town_Willington,0.0001769056700852176
cat__Town_Ashford,0.00017557896805785745
cat__Town_Kent,0.0001735503091870224
cat__Town_Barkhamsted,0.00017258786436240907
cat__Town_Durham,0.00016814650650919116
cat__Town_Lisbon,0.00016798071801319973
cat__Town_Roxbury,0.00016507459768483023
cat__Town_Deep River,0.00016386606558537573
cat__Town_Chaplin,0.00016030479330040188
cat__Town_Bolton,0.00015969221077308704
cat__Town_Colebrook,0.00015851336360744235
cat__Town_Hampton,0.00015692073506894688
cat__Town_Salem,0.0001524539204308251
cat__Town_Pomfret,0.00015219883736041382
cat__Town_Sprague,0.0001516876619032372
cat__Town_Bethany,0.00015016924884159535
cat__Town_Killingworth,0.0001378723845141127
cat__Town_Salisbury,0.00013535144180808634
cat__Town_Franklin,0.000133142002494036
cat__Town_Chester,0.00013289191714109682
cat__Town_Andover,0.00013161876536755036
cat__Town_Cornwall,0.00012660520593438945
cat__Town_Sherman,0.0001249490214260928
cat__Town_North Branford,0.00012272674589823592
cat__Town_Bozrah,0.00011835962127198761
cat__Town_Marlborough,0.00011354424003278675
cat__Town_Bridgewater,0.0001006809309019849
cat__Town_Lyme,9.173317574090268e-05
cat__Town_Eastford,8.920064753635434e-05
cat__Town_Hartland,7.590772220057826e-05
cat__Town_Scotland,7.048511038497667e-05
cat__Town_Union,5.756875952267415e-05
cat__Property Type_Public Utility,2.6765064946609667e-05
